param_model__alpha,mean_train_score,mean_test_score,std_test_score,rank_test_score
1.0,-2848.7097289803332,-3071.9314048654596,266.4168141021341,1
0.1,-2846.177106852518,-3073.521330373581,265.4827631813662,2
0.01,-2846.131297965573,-3074.072919712764,265.2187714012797,3
0.001,-2846.130806525619,-3074.13507361909,265.18928819540673,4
10.0,-2868.4142908184594,-3078.597209102039,263.9944269413728,5
100.0,-2975.5387565760984,-3144.288086736902,320.12534340513986,6
1000.0,-4070.1970005142657,-4171.220428894006,651.0832611240219,7
